OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,,
SO - 0005901,4/20/2015,3,Wholesale,GBP,AXW291,84,14,7,"3,021.70","21,151.90","1,843.24",,
SO - 0010634,4/20/2015,15,Wholesale,GBP,GUT930,23,23,11,"1,192.60","13,118.60",644.00,,
SO - 0009529,4/20/2015,104,Wholesale,GBP,GUT930,54,22,10,"5,453.80","54,538.00","3,544.97",,
SO - 0010372,4/20/2015,103,Wholesale,GBP,AXW291,29,23,6,"1,963.10","11,778.60","1,472.33",,
SO - 0001884,4/21/2015,44,Export,GBP,AXW291,33,14,5,"2,445.50","12,227.50","1,222.75",,
SO - 0001894,4/21/2015,141,Wholesale,GBP,AXW291,27,25,10,"1,092.10","10,921.00",666.18,,
SO - 0002213,4/21/2015,18,Wholesale,GBP,AXW291,3,27,5,"1,701.80","8,509.00","1,242.31",,
SO - 0004415,4/21/2015,116,Distributor,GBP,AXW291,47,3,8,"1,078.70","8,629.60",819.81,,
SO - 0005168,4/21/2015,67,Distributor,GBP,AXW291,54,12,6,"3,872.60","23,235.60","3,252.98",,
SO - 0005189,4/21/2015,99,Wholesale,GBP,AXW291,38,1,8,180.90,"1,447.20",124.82,,
SO - 0005397,4/21/2015,63,Export,GBP,AXW291,60,4,9,"1,989.90","17,909.10",994.95,,
SO - 0005656,4/21/2015,19,Export,GBP,AXW291,16,7,12,"2,385.20","28,622.40","1,025.64",,
SO - 0006413,4/21/2015,25,Wholesale,GBP,AXW291,22,16,12,167.50,"2,010.00",98.83,,
SO - 0006869,4/21/2015,60,Distributor,GBP,AXW291,35,20,6,"5,299.70","31,798.20","2,172.88",,
SO - 0002427,4/22/2015,130,Wholesale,GBP,AXW291,26,14,9,"6,499.00","58,491.00","4,549.30",,
SO - 0003153,4/22/2015,142,Wholesale,GBP,AXW291,20,11,9,"6,170.70","55,536.30","5,121.68",,
SO - 0003447,4/22/2015,80,Wholesale,GBP,AXW291,39,1,5,247.90,"1,239.50",131.39,,
SO - 0006047,4/22/2015,11,Wholesale,GBP,AXW291,69,5,11,"1,098.80","12,086.80",922.99,,
SO - 0006484,4/22/2015,169,Wholesale,GBP,AXW291,77,6,11,"1,721.90","18,940.90",947.05,,
SO - 0008844,4/22/2015,111,Wholesale,GBP,AXW291,82,2,9,"2,358.40","21,225.60","1,532.96",,
SO - 0001883,4/23/2015,111,Wholesale,GBP,AXW291,39,6,10,958.10,"9,581.00",613.18,,
SO - 0002203,4/23/2015,11,Wholesale,GBP,AXW291,17,28,9,"3,819.00","34,371.00","2,405.97",,
SO - 0002469,4/23/2015,11,Distributor,GBP,AXW291,47,1,10,"1,031.80","10,318.00",660.35,,
SO - 0003546,4/23/2015,62,Wholesale,GBP,AXW291,6,1,11,"1,118.90","12,307.90",469.94,,
SO - 0004106,4/23/2015,133,Distributor,GBP,AXW291,37,17,11,"3,765.40","41,419.40","2,824.05",,
SO - 0006810,4/23/2015,24,Distributor,GBP,AXW291,19,20,7,"5,473.90","38,317.30","2,463.26",,
SO - 0007494,4/23/2015,169,Wholesale,GBP,AXW291,35,6,10,"1,943.00","19,430.00",796.63,,
SO - 0010509,4/23/2015,36,Distributor,GBP,NXH382,25,17,12,261.30,"3,135.60",214.27,,
SO - 0002593,4/24/2015,141,Wholesale,GBP,AXW291,30,4,7,"2,391.90","16,743.30","1,626.49",,
SO - 0005176,4/24/2015,71,Wholesale,GBP,AXW291,73,11,5,"3,819.00","19,095.00","2,940.63",,
SO - 0007564,4/24/2015,135,Wholesale,GBP,AXW291,13,5,6,"1,165.80","6,994.80",512.95,,
SO - 0010691,4/24/2015,142,Wholesale,GBP,GUT930,85,26,5,"1,902.80","9,514.00",761.12,,
SO - 0009682,4/24/2015,74,Distributor,GBP,AXW291,6,27,8,180.90,"1,447.20",148.34,,
SO - 0002523,4/25/2015,15,Export,GBP,AXW291,74,1,5,"3,999.90","19,999.50","1,639.96",,
SO - 0003825,4/25/2015,138,Wholesale,GBP,AXW291,8,14,11,"1,058.60","11,644.60",899.81,,
SO - 0003885,4/25/2015,10,Wholesale,GBP,AXW291,20,13,8,"3,765.40","30,123.20","2,372.20",,
SO - 0006557,4/25/2015,64,Distributor,GBP,AXW291,64,2,8,817.40,"6,539.20",514.96,,
SO - 0008479,4/25/2015,165,Wholesale,GBP,NXH382,84,25,9,268.00,"2,412.00",136.68,,
SO - 000740,4/26/2015,80,Distributor,GBP,AXW291,21,14,6,"1,869.30","11,215.80","1,196.35",,
SO - 0001243,4/26/2015,100,Wholesale,GBP,AXW291,63,26,9,"1,031.80","9,286.20",515.90,,
SO - 0001413,4/26/2015,55,Export,GBP,AXW291,39,15,7,"1,125.60","7,879.20",619.08,,
SO - 0001749,4/26/2015,120,Export,GBP,AXW291,21,17,10,971.50,"9,715.00",689.77,,
SO - 0001930,4/26/2015,18,Distributor,GBP,AXW291,80,25,10,"5,453.80","54,538.00","3,654.05",,
SO - 0003827,4/26/2015,134,Export,GBP,AXW291,64,29,10,"2,613.00","26,130.00","1,332.63",,
SO - 0004609,4/26/2015,76,Distributor,GBP,AXW291,77,2,7,"3,095.40","21,667.80","2,104.87",,
SO - 0004806,4/26/2015,102,Export,GBP,AXW291,75,26,10,"3,986.50","39,865.00","1,674.33",,
SO - 0005214,4/26/2015,147,Wholesale,GBP,AXW291,1,15,8,"6,485.60","51,884.80","4,734.49",,
SO - 0007704,4/26/2015,106,Wholesale,GBP,AXW291,49,18,7,"3,772.10","26,404.70","1,961.49",,
SO - 0009991,4/26/2015,33,Wholesale,GBP,NXH382,77,11,12,"5,494.00","65,928.00","4,010.62",,
SO - 0002657,4/27/2015,25,Wholesale,GBP,AXW291,65,15,5,"4,006.60","20,033.00","3,205.28",,
SO - 0002766,4/27/2015,90,Export,GBP,AXW291,19,25,7,"2,284.70","15,992.90","1,485.06",,
SO - 0004697,4/27/2015,168,Wholesale,GBP,AXW291,78,26,7,958.10,"6,706.70",594.02,,
SO - 0005840,4/27/2015,33,Export,GBP,AXW291,60,17,12,857.60,"10,291.20",488.83,,
SO - 000354,4/28/2015,67,Distributor,GBP,AXW291,61,17,10,"3,537.60","35,376.00","1,910.30",,
SO - 000818,4/28/2015,52,Distributor,GBP,AXW291,14,27,8,"3,872.60","30,980.80","2,052.48",,
SO - 0001133,4/28/2015,98,Distributor,GBP,AXW291,47,19,5,"1,279.70","6,398.50",857.40,,
SO - 0002031,4/28/2015,96,Wholesale,GBP,AXW291,26,13,11,"5,299.70","58,296.70","4,186.76",,
SO - 0004755,4/28/2015,73,Wholesale,GBP,AXW291,55,5,8,857.60,"6,860.80",711.81,,
SO - 0005880,4/28/2015,103,Wholesale,GBP,AXW291,47,14,12,"2,365.10","28,381.20","1,348.11",,
SO - 0006153,4/28/2015,80,Wholesale,GBP,AXW291,1,18,11,"1,078.70","11,865.70",852.17,,
SO - 0006252,4/28/2015,132,Wholesale,GBP,AXW291,23,30,9,"1,326.60","11,939.40","1,061.28",,
SO - 0007027,4/28/2015,78,Wholesale,GBP,AXW291,11,25,12,"2,465.60","29,587.20","1,799.89",,
SO - 0007106,4/28/2015,83,Wholesale,GBP,AXW291,35,5,11,194.30,"2,137.30",159.33,,
SO - 0008986,4/28/2015,127,Wholesale,GBP,AXW291,66,13,9,938.00,"8,442.00",750.40,,
SO - 0008786,4/28/2015,104,Wholesale,GBP,AXW291,71,23,10,"3,859.20","38,592.00","2,431.30",,
SO - 0010336,4/28/2015,85,Wholesale,GBP,AXW291,73,15,9,911.20,"8,200.80",583.17,,
SO - 0009141,4/28/2015,102,Wholesale,GBP,NXH382,27,17,9,"1,118.90","10,070.10",704.91,,
SO - 000616,4/29/2015,130,Distributor,GBP,AXW291,37,25,7,"5,849.10","40,943.70","3,041.53",,
SO - 0002536,4/29/2015,59,Wholesale,GBP,AXW291,15,14,12,"1,118.90","13,426.80",783.23,,
SO - 0005342,4/29/2015,87,Wholesale,GBP,AXW291,10,1,10,"1,098.80","10,988.00",747.18,,
SO - 0005951,4/29/2015,40,Wholesale,GBP,AXW291,57,28,8,"3,819.00","30,552.00","2,902.44",,
SO - 0010325,4/29/2015,152,Distributor,GBP,AXW291,11,5,9,"1,078.70","9,708.30",722.73,,
SO - 0010347,4/29/2015,86,Wholesale,GBP,GUT930,64,6,12,844.20,"10,130.40",379.89,,
SO - 0009266,4/29/2015,135,Distributor,GBP,GUT930,20,4,9,"1,005.00","9,045.00",462.30,,
SO - 000239,4/30/2015,124,Wholesale,GBP,AXW291,31,9,9,"1,219.40","10,974.60",695.06,,
SO - 000258,4/30/2015,142,Wholesale,GBP,AXW291,57,17,11,"2,385.20","26,237.20","1,502.68",,
SO - 0001981,4/30/2015,14,Wholesale,GBP,AXW291,16,1,11,"3,731.90","41,050.90","2,910.88",,
SO - 0002647,4/30/2015,53,Distributor,GBP,AXW291,51,23,12,"1,969.80","23,637.60",787.92,,
SO - 0004353,4/30/2015,47,Distributor,GBP,AXW291,26,28,11,"3,979.80","43,777.80","1,830.71",,
SO - 0005915,4/30/2015,45,Wholesale,GBP,AXW291,46,9,10,"3,886.00","38,860.00","1,748.70",,
SO - 0006642,4/30/2015,53,Distributor,GBP,AXW291,50,16,7,"2,505.80","17,540.60","1,804.18",,
SO - 0006945,4/30/2015,98,Distributor,GBP,AXW291,54,9,6,"3,993.20","23,959.20","1,677.14",,
SO - 0007425,4/30/2015,73,Distributor,GBP,AXW291,85,10,7,"1,902.80","13,319.60","1,065.57",,
SO - 0009962,4/30/2015,135,Wholesale,GBP,NXH382,5,1,6,"3,819.00","22,914.00","2,253.21",,
SO - 0010309,4/30/2015,168,Wholesale,GBP,NXH382,82,16,11,"1,018.40","11,202.40",824.90,,
SO - 0010453,4/30/2015,105,Distributor,GBP,FLR025,3,3,11,"6,070.20","66,772.20","3,702.82",,
SO - 0009791,4/30/2015,101,Wholesale,GBP,GUT930,66,20,5,"3,792.20","18,961.00","2,919.99",,
SO - 0008760,4/30/2015,89,Wholesale,GBP,AXW291,39,11,6,187.60,"1,125.60",93.80,,
SO - 0008988,4/30/2015,113,Export,GBP,NXH382,83,21,9,"2,338.30","21,044.70","1,215.92",,
SO - 0004266,5/1/2015,26,Wholesale,GBP,AXW291,32,15,11,"3,852.50","42,377.50","2,927.90",,
SO - 0004789,5/1/2015,147,Distributor,GBP,AXW291,40,3,6,"2,773.80","16,642.80","1,692.02",,
SO - 0005427,5/1/2015,35,Distributor,GBP,AXW291,15,3,5,"1,005.00","5,025.00",804.00,,
SO - 0007092,5/1/2015,68,Export,GBP,AXW291,46,1,10,"5,581.10","55,811.00","3,069.61",,
SO - 0003163,5/2/2015,164,Wholesale,GBP,AXW291,83,4,9,"1,098.80","9,889.20",780.15,,
SO - 0003230,5/2/2015,11,Wholesale,GBP,AXW291,58,5,8,"1,072.00","8,576.00",428.80,,
SO - 0003878,5/2/2015,82,Export,GBP,AXW291,42,15,5,"1,018.40","5,092.00",855.46,,
SO - 0005014,5/2/2015,139,Wholesale,GBP,AXW291,27,24,9,716.90,"6,452.10",336.94,,
SO - 0009960,5/2/2015,131,Export,GBP,NXH382,4,25,8,"3,986.50","31,892.00","2,152.71",,
SO - 0008553,5/2/2015,153,Wholesale,GBP,FLR025,52,26,6,"1,788.90","10,733.40","1,127.01",,
SO - 0009173,5/2/2015,68,Wholesale,GBP,GUT930,82,5,7,"3,343.30","23,403.10","2,407.18",,
SO - 0009212,5/2/2015,67,Wholesale,GBP,NXH382,45,11,8,"3,932.90","31,463.20","2,831.69",,
SO - 0003743,5/3/2015,85,Wholesale,GBP,AXW291,64,5,5,"3,819.00","19,095.00","2,826.06",,
SO - 0005174,5/3/2015,81,Wholesale,GBP,AXW291,38,14,5,"3,852.50","19,262.50","3,236.10",,
SO - 0005517,5/3/2015,116,Distributor,GBP,AXW291,1,17,12,"1,058.60","12,703.20",635.16,,
SO - 0009362,5/3/2015,47,Wholesale,GBP,AXW291,76,30,8,"5,406.90","43,255.20","4,217.38",,
SO - 0009569,5/3/2015,75,Distributor,GBP,FLR025,16,1,8,944.70,"7,557.60",803.00,,
SO - 0010442,5/3/2015,150,Wholesale,GBP,NXH382,80,18,9,"1,085.40","9,768.60",510.14,,
SO - 000603,5/4/2015,159,Wholesale,GBP,AXW291,60,26,9,"1,768.80","15,919.20",778.27,,
SO - 0002880,5/4/2015,83,Wholesale,GBP,AXW291,59,14,7,"2,231.10","15,617.70","1,472.53",,
SO - 0004096,5/4/2015,32,Wholesale,GBP,AXW291,36,15,10,"6,351.60","63,516.00","3,048.77",,
SO - 0004733,5/4/2015,136,Export,GBP,AXW291,15,6,12,"1,728.60","20,743.20","1,382.88",,
SO - 0004777,5/4/2015,48,Wholesale,GBP,AXW291,40,6,6,"2,224.40","13,346.40",934.25,,
SO - 0005878,5/4/2015,100,Distributor,GBP,AXW291,49,29,5,207.70,"1,038.50",120.47,,
SO - 0006797,5/4/2015,83,Wholesale,GBP,AXW291,58,13,6,"6,525.80","39,154.80","3,589.19",,
SO - 0007736,5/4/2015,161,Export,GBP,AXW291,23,19,6,"2,237.80","13,426.80","1,902.13",,
SO - 0010604,5/4/2015,95,Wholesale,GBP,NXH382,59,19,11,"5,078.60","55,864.60","4,113.67",,
SO - 0001222,5/5/2015,175,Export,GBP,AXW291,26,14,6,"1,051.90","6,311.40",820.48,,
SO - 0001258,5/5/2015,82,Distributor,GBP,AXW291,49,4,6,"1,072.00","6,432.00",621.76,,
SO - 0002602,5/5/2015,160,Wholesale,GBP,AXW291,46,15,7,"3,785.50","26,498.50","1,514.20",,
SO - 0003309,5/5/2015,146,Export,GBP,AXW291,27,19,7,"2,351.70","16,461.90","1,622.67",,
SO - 0003987,5/5/2015,144,Wholesale,GBP,AXW291,60,4,11,"4,020.00","44,220.00","2,371.80",,
SO - 0006789,5/5/2015,160,Distributor,GBP,AXW291,31,4,6,"5,775.40","34,652.40","4,678.07",,
SO - 0010175,5/5/2015,104,Distributor,GBP,AXW291,47,17,7,"3,999.90","27,999.30","1,879.95",,
SO - 0008140,5/5/2015,113,Distributor,GBP,AXW291,40,4,9,"1,989.90","17,909.10","1,392.93",,
SO - 0002012,5/6/2015,42,Distributor,GBP,AXW291,81,18,11,"5,319.80","58,517.80","3,298.28",,
SO - 0005950,5/6/2015,123,Distributor,GBP,AXW291,59,15,9,"3,691.70","33,225.30","2,990.28",,
SO - 0006058,5/6/2015,128,Export,GBP,AXW291,33,2,10,"1,728.60","17,286.00",726.01,,
SO - 0007528,5/6/2015,118,Wholesale,GBP,AXW291,85,15,6,"2,921.20","17,527.20","2,307.75",,
SO - 0010043,5/6/2015,1,Wholesale,GBP,AXW291,74,16,9,167.50,"1,507.50",112.23,,
SO - 0009379,5/6/2015,172,Wholesale,GBP,AXW291,12,13,9,998.30,"8,984.70",718.78,,
SO - 000246,5/7/2015,156,Wholesale,GBP,AXW291,58,25,7,"1,072.00","7,504.00",643.20,,
SO - 000791,5/7/2015,130,Export,GBP,AXW291,30,17,5,"3,108.80","15,544.00","1,896.37",,
SO - 0005805,5/7/2015,29,Wholesale,GBP,AXW291,47,4,5,"3,718.50","18,592.50","2,751.69",,
SO - 0006034,5/7/2015,71,Wholesale,GBP,AXW291,17,14,12,"1,139.00","13,668.00",569.50,,
SO - 0006801,5/7/2015,37,Distributor,GBP,AXW291,13,26,9,"1,072.00","9,648.00",621.76,,
SO - 0007255,5/7/2015,39,Export,GBP,AXW291,80,25,8,"1,849.20","14,793.60","1,553.33",,
SO - 0007621,5/7/2015,69,Distributor,GBP,AXW291,9,7,7,174.20,"1,219.40",74.91,,
SO - 0002498,5/8/2015,77,Wholesale,GBP,AXW291,77,17,9,"1,909.50","17,185.50","1,413.03",,
SO - 0003965,5/8/2015,155,Distributor,GBP,AXW291,46,18,11,"2,599.60","28,595.60","1,715.74",,
SO - 0006284,5/8/2015,17,Wholesale,GBP,AXW291,47,5,5,984.90,"4,924.50",630.34,,
SO - 0007784,5/8/2015,15,Wholesale,GBP,AXW291,50,19,7,"1,112.20","7,785.40",589.47,,
SO - 0008613,5/8/2015,129,Distributor,GBP,NXH382,2,1,6,"3,859.20","23,155.20","1,620.86",,
SO - 0002094,5/9/2015,115,Wholesale,GBP,AXW291,17,1,8,871.00,"6,968.00",644.54,,
SO - 0002151,5/9/2015,39,Wholesale,GBP,AXW291,14,11,9,"1,855.90","16,703.10","1,317.69",,
SO - 0003092,5/9/2015,67,Wholesale,GBP,AXW291,31,2,5,676.70,"3,383.50",345.12,,
SO - 0003158,5/9/2015,30,Distributor,GBP,AXW291,73,16,5,"2,559.40","12,797.00","1,970.74",,
SO - 0005145,5/9/2015,145,Distributor,GBP,AXW291,85,30,12,"2,492.40","29,908.80",996.96,,
SO - 0005167,5/9/2015,53,Distributor,GBP,AXW291,12,5,5,"6,244.40","31,222.00","5,057.96",,
SO - 0007637,5/9/2015,107,Distributor,GBP,AXW291,23,2,12,234.50,"2,814.00",126.63,,
SO - 0008840,5/9/2015,156,Distributor,GBP,AXW291,66,2,7,844.20,"5,909.40",616.27,,
SO - 0010676,5/9/2015,9,Wholesale,GBP,AXW291,14,29,9,"3,899.40","35,094.60","3,275.50",,
SO - 0008772,5/9/2015,54,Distributor,GBP,FLR025,59,14,5,"2,613.00","13,065.00","1,045.20",,
SO - 000862,5/10/2015,125,Wholesale,GBP,AXW291,29,14,11,"1,139.00","12,529.00",717.57,,
SO - 0001408,5/10/2015,25,Export,GBP,AXW291,37,5,11,"3,892.70","42,819.70","2,452.40",,
SO - 0002128,5/10/2015,156,Export,GBP,AXW291,80,25,8,"6,545.90","52,367.20","3,076.57",,
SO - 0006757,5/10/2015,143,Distributor,GBP,AXW291,3,14,6,"3,819.00","22,914.00","2,864.25",,
SO - 0007573,5/10/2015,74,Wholesale,GBP,AXW291,85,26,12,"1,815.70","21,788.40",980.48,,
SO - 0007750,5/10/2015,151,Wholesale,GBP,AXW291,39,8,7,"6,271.20","43,898.40","3,762.72",,
SO - 0010081,5/10/2015,42,Wholesale,GBP,FLR025,16,18,9,"6,056.80","54,511.20","2,846.70",,
SO - 0010692,5/10/2015,140,Distributor,GBP,AXW291,15,30,12,"2,479.00","29,748.00","1,041.18",,
SO - 0008298,5/10/2015,99,Export,GBP,GUT930,70,5,5,"5,098.70","25,493.50","3,365.14",,
SO - 000180,5/11/2015,147,Export,GBP,AXW291,64,11,5,"4,006.60","20,033.00","2,844.69",,
SO - 000250,5/11/2015,72,Wholesale,GBP,AXW291,13,13,11,"3,993.20","43,925.20","3,314.36",,
SO - 0001682,5/11/2015,15,Distributor,GBP,AXW291,77,28,5,"1,118.90","5,594.50",716.10,,
SO - 0008272,5/11/2015,61,Wholesale,GBP,FLR025,45,16,7,"5,540.90","38,786.30","2,438.00",,
SO - 0001517,5/12/2015,85,Distributor,GBP,AXW291,77,25,5,"3,859.20","19,296.00","1,620.86",,
SO - 0001621,5/12/2015,121,Wholesale,GBP,AXW291,2,13,12,"1,152.40","13,828.80",772.11,,
SO - 0004523,5/12/2015,100,Distributor,GBP,AXW291,40,17,10,227.80,"2,278.00",104.79,,
SO - 0004977,5/12/2015,53,Wholesale,GBP,AXW291,26,8,5,"1,139.00","5,695.00",466.99,,
SO - 0005706,5/12/2015,156,Distributor,GBP,AXW291,5,2,7,844.20,"5,909.40",616.27,,
SO - 0006489,5/12/2015,154,Wholesale,GBP,AXW291,20,5,12,"5,293.00","63,516.00","3,228.73",,
SO - 0007876,5/12/2015,50,Wholesale,GBP,AXW291,82,2,10,"2,613.00","26,130.00","1,620.06",,
SO - 0007914,5/12/2015,173,Wholesale,GBP,AXW291,59,18,11,"1,708.50","18,793.50",854.25,,
SO - 0009920,5/12/2015,28,Export,GBP,AXW291,8,1,11,214.40,"2,358.40",177.95,,
SO - 0010187,5/12/2015,3,Wholesale,GBP,AXW291,9,26,8,"2,003.30","16,026.40","1,422.34",,
SO - 000146,5/13/2015,2,Distributor,GBP,AXW291,67,5,7,"2,304.80","16,133.60","1,382.88",,
SO - 000506,5/13/2015,91,Wholesale,GBP,AXW291,31,26,12,"3,879.30","46,551.60","3,219.82",,
SO - 0002571,5/13/2015,90,Export,GBP,AXW291,56,18,8,"2,311.50","18,492.00","1,641.17",,
SO - 0002864,5/13/2015,149,Wholesale,GBP,AXW291,42,13,7,"1,782.20","12,475.40",712.88,,
SO - 0004208,5/13/2015,81,Distributor,GBP,AXW291,48,8,11,"1,715.20","18,867.20",737.54,,
SO - 0006025,5/13/2015,168,Wholesale,GBP,AXW291,60,29,5,"3,222.70","16,113.50","2,610.39",,
SO - 0009047,5/13/2015,166,Distributor,GBP,FLR025,52,8,11,"1,051.90","11,570.90",673.22,,
SO - 0009274,5/13/2015,45,Wholesale,GBP,GUT930,2,14,8,"2,237.80","17,902.40","1,253.17",,
SO - 0001023,5/14/2015,107,Distributor,GBP,AXW291,16,2,5,214.40,"1,072.00",130.78,,
SO - 0001172,5/14/2015,85,Wholesale,GBP,AXW291,60,18,9,"1,326.60","11,939.40",809.23,,
SO - 0003143,5/14/2015,37,Export,GBP,AXW291,41,26,5,174.20,871.00,118.46,,
SO - 0004584,5/14/2015,109,Wholesale,GBP,AXW291,81,16,10,187.60,"1,876.00",91.92,,
SO - 0004865,5/14/2015,31,Distributor,GBP,AXW291,23,23,8,234.50,"1,876.00",180.57,,
SO - 0008414,5/14/2015,12,Wholesale,GBP,FLR025,50,29,5,"1,922.90","9,614.50","1,288.34",,
SO - 0009389,5/14/2015,8,Distributor,GBP,AXW291,34,2,8,"1,172.50","9,380.00",527.63,,
SO - 0009378,5/14/2015,93,Wholesale,GBP,AXW291,63,26,12,"3,832.40","45,988.80","1,647.93",,
SO - 0002168,5/15/2015,121,Wholesale,GBP,AXW291,28,2,11,"1,708.50","18,793.50","1,195.95",,
SO - 0003803,5/15/2015,31,Distributor,GBP,AXW291,66,24,7,"1,889.40","13,225.80","1,190.32",,
SO - 0007785,5/15/2015,170,Wholesale,GBP,AXW291,24,25,10,"1,139.00","11,390.00",672.01,,
SO - 0010402,5/15/2015,25,Wholesale,GBP,FLR025,36,18,10,"5,159.00","51,590.00","3,301.76",,
SO - 0008937,5/15/2015,93,Wholesale,GBP,FLR025,15,26,12,991.60,"11,899.20",565.21,,
SO - 0001966,5/16/2015,174,Wholesale,GBP,AXW291,2,3,10,"1,172.50","11,725.00",973.18,,
SO - 0002321,5/16/2015,28,Export,GBP,AXW291,22,25,11,"1,092.10","12,013.10",655.26,,
SO - 0003272,5/16/2015,163,Distributor,GBP,AXW291,62,11,6,"6,438.70","38,632.20","2,575.48",,
SO - 0003536,5/16/2015,80,Wholesale,GBP,AXW291,61,26,9,"6,411.90","57,707.10","3,526.55",,
SO - 0005937,5/16/2015,141,Wholesale,GBP,AXW291,69,13,11,"1,058.60","11,644.60",561.06,,
SO - 0006027,5/16/2015,10,Wholesale,GBP,AXW291,60,20,7,"1,078.70","7,550.90",539.35,,
SO - 0006036,5/16/2015,126,Wholesale,GBP,AXW291,16,4,7,201.00,"1,407.00",120.60,,
SO - 000147,5/17/2015,47,Distributor,GBP,AXW291,19,11,10,"3,195.90","31,959.00","1,470.11",,
SO - 0003929,5/17/2015,79,Export,GBP,AXW291,4,5,8,"6,532.50","52,260.00","2,939.63",,
SO - 0004453,5/17/2015,25,Wholesale,GBP,AXW291,70,20,5,"1,058.60","5,293.00",656.33,,
SO - 0006004,5/17/2015,90,Export,GBP,AXW291,58,26,9,"2,244.50","20,200.50","1,683.38",,
SO - 0007486,5/17/2015,99,Distributor,GBP,AXW291,43,27,5,"2,445.50","12,227.50","1,760.76",,
SO - 0001870,5/18/2015,87,Distributor,GBP,AXW291,34,25,5,"5,226.00","26,130.00","3,396.90",,
SO - 0004643,5/18/2015,1,Wholesale,GBP,AXW291,44,6,11,"1,098.80","12,086.80",516.44,,
SO - 0005925,5/18/2015,58,Wholesale,GBP,AXW291,18,26,8,"1,045.20","8,361.60",742.09,,
SO - 0006347,5/18/2015,49,Export,GBP,AXW291,5,15,11,"1,125.60","12,381.60",529.03,,
SO - 0007722,5/18/2015,26,Wholesale,GBP,AXW291,26,6,10,187.60,"1,876.00",105.06,,
SO - 0009841,5/18/2015,125,Wholesale,GBP,FLR025,69,26,7,"1,005.00","7,035.00",432.15,,
SO - 0010353,5/18/2015,24,Distributor,GBP,NXH382,61,18,8,"3,986.50","31,892.00","2,750.69",,
SO - 0008145,5/18/2015,62,Wholesale,GBP,AXW291,19,9,10,"1,005.00","10,050.00",592.95,,
SO - 000373,5/19/2015,82,Wholesale,GBP,AXW291,71,12,10,227.80,"2,278.00",134.40,,
SO - 0001247,5/19/2015,151,Distributor,GBP,AXW291,21,15,8,"1,065.30","8,522.40",894.85,,
SO - 0002931,5/19/2015,39,Wholesale,GBP,AXW291,50,4,8,234.50,"1,876.00",182.91,,
SO - 0004620,5/19/2015,175,Export,GBP,AXW291,15,6,11,"3,839.10","42,230.10","2,188.29",,
SO - 0004770,5/19/2015,44,Export,GBP,AXW291,64,3,5,"1,809.00","9,045.00","1,049.22",,
SO - 0007432,5/19/2015,66,Wholesale,GBP,AXW291,17,4,7,"2,519.20","17,634.40","1,662.67",,
SO - 0007745,5/19/2015,122,Wholesale,GBP,AXW291,27,3,7,214.40,"1,500.80",137.22,,
SO - 0009640,5/19/2015,41,Wholesale,GBP,AXW291,39,5,12,"6,157.30","73,887.60","4,433.26",,
SO - 0010374,5/19/2015,35,Wholesale,GBP,FLR025,8,4,5,"1,038.50","5,192.50",488.10,,
SO - 0003224,5/20/2015,80,Wholesale,GBP,AXW291,67,10,11,"1,051.90","11,570.90",736.33,,
SO - 0003344,5/20/2015,173,Distributor,GBP,AXW291,71,29,5,"1,098.80","5,494.00",933.98,,
SO - 0007155,5/20/2015,62,Wholesale,GBP,AXW291,3,2,7,837.50,"5,862.50",695.13,,
SO - 0007660,5/20/2015,140,Wholesale,GBP,AXW291,57,27,5,"2,921.20","14,606.00","2,103.26",,
SO - 0009012,5/20/2015,100,Distributor,GBP,AXW291,9,29,5,207.70,"1,038.50",120.47,,
SO - 0009453,5/20/2015,77,Distributor,GBP,FLR025,69,14,11,"2,586.20","28,448.20","1,965.51",,
SO - 0008708,5/20/2015,12,Distributor,GBP,NXH382,59,25,9,"3,289.70","29,607.30","1,677.75",,
SO - 000222,5/21/2015,74,Distributor,GBP,AXW291,23,23,10,958.10,"9,581.00",795.22,,
SO - 000423,5/21/2015,50,Wholesale,GBP,AXW291,65,14,12,"5,212.60","62,551.20","3,179.69",,
SO - 0002459,5/21/2015,51,Distributor,GBP,AXW291,48,22,12,"3,979.80","47,757.60","2,706.26",,
SO - 0005075,5/21/2015,21,Wholesale,GBP,AXW291,79,23,10,"1,252.90","12,529.00",989.79,,
SO - 0010176,5/21/2015,101,Distributor,GBP,AXW291,17,19,12,"1,996.60","23,959.20","1,677.14",,
SO - 000141,5/22/2015,75,Wholesale,GBP,AXW291,81,14,9,"2,405.30","21,647.70","1,587.50",,
SO - 0002283,5/22/2015,168,Wholesale,GBP,AXW291,61,20,6,"1,299.80","7,798.80","1,065.84",,
SO - 0002885,5/22/2015,117,Distributor,GBP,AXW291,72,16,10,"2,492.40","24,924.00","1,146.50",,
SO - 0005344,5/22/2015,9,Distributor,GBP,AXW291,8,25,12,"3,919.50","47,034.00","2,273.31",,
SO - 0006899,5/22/2015,16,Wholesale,GBP,AXW291,38,3,6,"1,159.10","6,954.60",498.41,,
SO - 0009215,5/22/2015,30,Wholesale,GBP,AXW291,40,15,10,"2,211.00","22,110.00","1,857.24",,
SO - 0008707,5/22/2015,100,Wholesale,GBP,NXH382,47,14,5,"2,378.50","11,892.50","1,974.16",,
